CANONICAL_SLUG	CANONICAL_TITLE	CATEGORY	SOURCE_TITLE	DOMAIN	URL	SOURCE
perviy	Первый канал	Федеральные	Первый канал	s04.watcher.uz	https://s04.watcher.uz/11/video.m3u8?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjb250cmFjdF9pZCI6MjcwMTc3LCJsb2dpbiI6InR2LTI3MDE3NyIsInRlbXBvcmFyeSI6ZmFsc2UsImlzX29hdXRoIjpmYWxzZSwiY3JlYXRlZF90aW1lIjoxNjUwMjgzMDI3fQ.LadLj4b6plIxTGCWntQQqsQGZ3R9EsvwhaXQd1sur2g%3A15	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	ПЕРВЫЙ КАНАЛ	31.131.141.195:8000	http://31.131.141.195:8000/play/1010/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый Канал	195.26.83.96:7013	http://195.26.83.96:7013/play/12/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал HD	bl.rutube.ru	https://bl.rutube.ru/livestream/c58f502c7bb34a8fcdd976b221fca292/index.m3u8?s=cdEX_MDZxQc2DELRdY3CwQ&e=2069285048&scheme=https	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал	flussonic.mkpnet.ru	https://flussonic.mkpnet.ru/tv-4f9598ab5f91dca4/video.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал	37.46.49.14:18010	http://37.46.49.14:18010/play/a021/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал	185.78.112.47:8077	http://185.78.112.47:8077/ort_msk/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый HD	edge4.1internet.tv	https://edge4.1internet.tv/dash-live2/streams/1tv-dvr/1tvdash.mpd	https://dl.dropbox.com/scl/fi/74m171q8t8opwhve485pf/Moi_ip.m3u?rlkey=8cj23dvra85s2u7eh1kfzq4bp
perviy	Первый канал	Федеральные	Первый канал HD	bl.rutube.ru	https://bl.rutube.ru/livestream/c58f502c7bb34a8fcdd976b221fca292/index.m3u8?s=lmXcLXuG86134J5a9fUHtQ&e=2068506931&scheme=https	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
perviy	Первый канал	Федеральные	Первый канал HD	edge4.1internet.tv	http://edge4.1internet.tv/dash-live2/streams/1tv-dvr/1tvdash.mpd	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
perviy	Первый канал	Федеральные	Первый канал HD	mfe02.cliptv.az	http://mfe02.cliptv.az/dash/Perviy_Kanal_HDhshd6637.ism/playlist.mpd	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
perviy	Первый канал	Федеральные	Первый канал HD	edge1.1internet.tv	https://edge1.1internet.tv/dash-live2/streams/1tv/1tvdash.mpd	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
perviy	Первый канал	Федеральные	Первый канал	45.145.32.13:20440	http://45.145.32.13:20440/pervyj_kanal/index.m3u8?token=test	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
perviy	Первый канал	Федеральные	Первый канал HD	bl.rutube.ru	https://bl.rutube.ru/livestream/c58f502c7bb34a8fcdd976b221fca292/index.m3u8?s=rtOcMsjT0MORqyR2fXCorQ&e=2081031274&scheme=https	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
perviy	Первый канал	Федеральные	Первый канал	streaming.goodstream.icu	https://streaming.goodstream.icu/live/210-req_offset_28000000-req_window_0-2k_v5.m3u8	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
perviy	Первый канал	Федеральные	Первый канал	217.174.229.136:8000	http://217.174.229.136:8000/play/a03c	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал	5.188.221.43:8080	http://5.188.221.43:8080/play/ort	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал	89.218.32.179:18000	http://89.218.32.179:18000/play/a03q	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый	cdn.kubteltv.workers.dev	http://cdn.kubteltv.workers.dev/?ID=1	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал	95.47.155.244:8001	http://95.47.155.244:8001/play/a001	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
perviy	Первый канал	Федеральные	Первый канал	91.221.252.12:82	http://91.221.252.12:82/tv15	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
perviy	Первый канал	Федеральные	Первый Канал	tv.ttk.mx:9000	http://tv.ttk.mx:9000	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
perviy	Первый канал	Федеральные	Первый канал HD+	getfile.dokpub.com	https://getfile.dokpub.com/yandex/get/https://disk.yandex.ru/i/-EupBWKWK4M_Gw	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	ПЕРВЫЙ КАНАЛ SD	bl.rutube.ru	https://bl.rutube.ru/livestream/c58f502c7bb34a8fcdd976b221fca292/index.m3u8?s=RRyK9h1rVwc4QOrY4h721g&e=2066519749&scheme=https	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
perviy	Первый канал	Федеральные	Первый канал	edge1.1internet.tv	http://edge1.1internet.tv/dash-live2/streams/1tv-dvr/1tvdash.mpd	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
russia1	Россия 1	Федеральные	Россия 1 HD	mhd128.iptv2022.com	https://mhd128.iptv2022.com/p/rXccWvD1jBYLfNouin7Jxw,1781117621/streaming/rossia1ott/324/5/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1 HD	mhd128.iptv2022.com	https://mhd128.iptv2022.com/p/aIquJCvZcBdc5J5p0Kdr_A,1781117615/streaming/rossia1ott/324/5/tracks-v5a1/mono.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1 HD	46.32.176.50	http://46.32.176.50/RossiyaHD/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1 HD	94.228.166.20:8000	http://94.228.166.20:8000/play/a06a/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1 HD	vgtrkregion-reg.cdnvideo.ru	http://vgtrkregion-reg.cdnvideo.ru/vgtrk/0/russia1-hd/1080p.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
russia1	Россия 1	Федеральные	Россия 1 HD	31.148.48.15:80	http://31.148.48.15:80/Rossiya_1_HD/index.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
russia1	Россия 1	Федеральные	Россия 1 HD	dmitry-tv.ddns.net	http://dmitry-tv.ddns.net/hls/smotrim/T2/CH_RUSSIA1HD.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
russia1	Россия 1	Федеральные	Россия 1 HD	vgtrkregion-reg.cdnvideo.ru	https://vgtrkregion-reg.cdnvideo.ru/vgtrk/0/russia1-hd/index.m3u8	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
russia1	Россия 1	Федеральные	Россия 1 HD	cdn.kubteltv.workers.dev	http://cdn.kubteltv.workers.dev/?ID=422	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1 HD	tv.ttk.mx:9075	http://tv.ttk.mx:9075	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
russia1	Россия 1	Федеральные	Россия 1	46.32.176.50	http://46.32.176.50/rossiya1/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1	stream8.cinerama.uz	https://stream8.cinerama.uz/1020/tracks-v1a1/mono.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1	31.131.141.195:8000	http://31.131.141.195:8000/play/1020/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1	195.26.83.96:7013	http://195.26.83.96:7013/play/13/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1	flussonic.mkpnet.ru	https://flussonic.mkpnet.ru/tv-d696bdfd6a0e4373/video.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1	37.46.49.14:18010	http://37.46.49.14:18010/play/a054/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1	dmi3y-tv6.ru	http://dmi3y-tv6.ru/hls/smotrim/T2/CH_RUSSIA1.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
russia1	Россия 1	Федеральные	Россия 1	vgtrkregion-reg.cdnvideo.ru	http://vgtrkregion-reg.cdnvideo.ru/vgtrk/0/russia1-hd/index.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
russia1	Россия 1	Федеральные	Россия 1	s8.rafail1982.uz	http://s8.rafail1982.uz/1020/tracks-v1a1a1/mono.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
russia1	Россия 1	Федеральные	Россия 1	vgtrkregion-reg.cdnvideo.ru	http://vgtrkregion-reg.cdnvideo.ru/vgtrk/HO3gcQAHbok/russia1-sd/index.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
russia1	Россия 1	Федеральные	Россия 1	uiptv.do.am	http://uiptv.do.am/1ufc/000000002/playlist.m3u8	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
russia1	Россия 1	Федеральные	Россия 1	217.174.229.136:8000	http://217.174.229.136:8000/play/a03d	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1	5.188.221.43:8080	http://5.188.221.43:8080/play/rossiya_1	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1	cdn.kubteltv.workers.dev	http://cdn.kubteltv.workers.dev/?ID=2	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
russia1	Россия 1	Федеральные	Россия 1	95.47.155.244:8001	http://95.47.155.244:8001/play/a002	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
russia1	Россия 1	Федеральные	Россия 1	91.221.252.12:82	http://91.221.252.12:82/tv100	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
russia1	Россия 1	Федеральные	Россия 1	91.221.252.12:82	http://91.221.252.12:82/tv19	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
russia1	Россия 1	Федеральные	Россия 1	185.46.16.239:8000	http://185.46.16.239:8000/Rossiya_1	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
russia1	Россия 1	Федеральные	Россия 1	tv.ttk.mx:9001	http://tv.ttk.mx:9001	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
match	Матч ТВ	Федеральные	Матч!	mhd128.iptv2022.com	https://mhd128.iptv2022.com/p/tLgDlXjvBBiDyUpc3rUT0w,1781117618/streaming/matchott/324/5/tracks-v5a1/mono.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ HD	62.32.84.50:18000	http://62.32.84.50:18000/play/a0mc/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ HD	217.174.229.136:8000	http://217.174.229.136:8000/play/a01s	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ	46.32.176.50	http://46.32.176.50/matchtv/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ	31.131.141.195:8000	http://31.131.141.195:8000/play/1030/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ HD	bl.rutube.ru	https://bl.rutube.ru/livestream/11bbbec75a2ceb8cf446ad16813c6eec/index.m3u8?s=W76dQnw6UUOMTcTX-QSm8A&e=2069285079&scheme=https	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	МАТЧ!	flussonic.mkpnet.ru	https://flussonic.mkpnet.ru/tv-d3098523a4409835/video.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ	37.46.49.14:18010	http://37.46.49.14:18010/play/a08i/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ	185.78.112.47:8077	http://185.78.112.47:8077/match/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ	45.132.87.69:8080	http://45.132.87.69:8080/match/index.m3u8	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
match	Матч ТВ	Федеральные	Матч ТВ	185.46.48.18:80	http://185.46.48.18:80/match/mono.m3u8	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
match	Матч ТВ	Федеральные	Матч ТВ	tv.tuva.ru	http://tv.tuva.ru/machtv/index.m3u8	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
match	Матч ТВ	Федеральные	Матч ТВ HD	bl.rutube.ru	https://bl.rutube.ru/livestream/11bbbec75a2ceb8cf446ad16813c6eec/index.m3u8?s=Pz2lOpK7HQTRfJvoufAKWw&e=2081031321&scheme=https	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
match	Матч ТВ	Федеральные	МАТЧ ТВ	streaming.televizor-24-tochka.ru	https://streaming.televizor-24-tochka.ru/live/6-req_offset_28000000-req_window_0-1k_v5.m3u8	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
match	Матч ТВ	Федеральные	Матч ТВ	217.174.229.136:8000	http://217.174.229.136:8000/play/a03e	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ	5.188.221.43:8080	http://5.188.221.43:8080/play/match	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч ТВ	89.218.32.179:18000	http://89.218.32.179:18000/play/a02p	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	Матч!	cdn.kubteltv.workers.dev	http://cdn.kubteltv.workers.dev/?ID=3	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
match	Матч ТВ	Федеральные	МАТЧ	95.47.155.244:8001	http://95.47.155.244:8001/play/a003	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
match	Матч ТВ	Федеральные	Матч ТВ	91.221.252.12:82	http://91.221.252.12:82/tv109	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
match	Матч ТВ	Федеральные	Матч ТВ	185.46.16.239:8000	http://185.46.16.239:8000/Match_TV	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
match	Матч ТВ	Федеральные	Матч ТВ	tv.ttk.mx:9002	http://tv.ttk.mx:9002	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
ntv	НТВ	Федеральные	НТВ HD	mhd128.iptv2022.com	https://mhd128.iptv2022.com/p/2D79hhfIuT90Ta2y-sOKqQ,1781117615/streaming/ntvnn/324/5/tracks-v5a1/mono.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
ntv	НТВ	Федеральные	НТВ HD (1080p)	cdn.ntv.ru	https://cdn.ntv.ru/ntv0/playlist.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
ntv	НТВ	Федеральные	НТВ HD	185.78.112.47:8077	http://185.78.112.47:8077/ntv_hd/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
ntv	НТВ	Федеральные	НТВ HD	94.228.166.20:8000	http://94.228.166.20:8000/play/a06b/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
ntv	НТВ	Федеральные	НТВ HD	cdn.ntv.ru	http://cdn.ntv.ru/ntv0/playlist.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
ntv	НТВ	Федеральные	НТВ HD	cdn2.ntv.ru	http://cdn2.ntv.ru/ntv0_hd/tracks-v1a1/mono.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
ntv	НТВ	Федеральные	НТВ HD	cdn.ntv.ru	http://cdn.ntv.ru/ntv-msk_hd/tracks-v1a1/mono.m3u8	https://raw.githubusercontent.com/Voxlist/voxlist/refs/heads/main/voxlist.m3u
ntv	НТВ	Федеральные	НТВ HD	cdn.ntv.ru	https://cdn.ntv.ru/ntv-msk_hd/tracks-v1a1/playlist.m3u8	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
ntv	НТВ	Федеральные	НТВ HD	cdn.ntv.ru	https://cdn.ntv.ru/ntv0_hd/tracks-v1a1/playlist.m3u8	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
ntv	НТВ	Федеральные	НТВ HD	217.174.229.136:8000	http://217.174.229.136:8000/play/a08m	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
ntv	НТВ	Федеральные	НТВ HD	cdn.kubteltv.workers.dev	http://cdn.kubteltv.workers.dev/?ID=375	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
ntv	НТВ	Федеральные	НТВ HD	tv.ttk.mx:9127	http://tv.ttk.mx:9127	https://raw.githubusercontent.com/Dimonovich/TV/Dimonovich/FREE/TV
ntv	НТВ	Федеральные	НТВ	46.32.176.50	http://46.32.176.50/ntvplus/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
ntv	НТВ	Федеральные	НТВ	stream8.cinerama.uz	https://stream8.cinerama.uz/1023/tracks-v1a1/mono.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
ntv	НТВ	Федеральные	НТВ	31.131.141.195:8000	http://31.131.141.195:8000/play/1040/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
ntv	НТВ	Федеральные	НТВ	176.118.197.101	http://176.118.197.101/NTV/index.m3u8	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
ntv	НТВ	Федеральные	НТВ HD	bl.rutube.ru	https://bl.rutube.ru/livestream/c37cd74192c6bc3d6cd6077c0c4fd686/index.m3u8?s=KRpRtdju100oOaCoxpKyPg&e=2066519750&scheme=https	https://dl.dropboxusercontent.com/scl/fi/ur595ef4cqmfst951kboh/.NET_2.m3u?rlkey=0cw1ficfrq0m6yg2udh16qn78&dl=0
